iter	Passed	Remaining
0	145	145204
1	149	74488
2	152	50685
3	156	38922
4	159	31661
5	161	26814
6	164	23384
7	167	20796
8	170	18776
9	173	17160
10	176	15825
11	179	14745
12	181	13813
13	184	13020
14	187	12319
15	190	11719
16	193	11177
17	196	10700
18	199	10285
19	202	9899
20	204	9536
21	207	9205
22	210	8932
23	212	8660
24	215	8410
25	218	8188
26	221	7966
27	223	7764
28	226	7592
29	229	7416
30	232	7258
31	234	7103
32	237	6963
33	240	6842
34	243	6711
35	246	6594
36	249	6482
37	251	6372
38	254	6272
39	257	6178
40	260	6083
41	262	5993
42	265	5911
43	268	5830
44	271	5762
45	274	5688
46	276	5614
47	279	5543
48	282	5479
49	285	5417
50	288	5360
51	290	5300
52	293	5245
53	296	5188
54	299	5138
55	302	5105
56	305	5053
57	308	5003
58	311	4961
59	313	4914
60	316	4878
61	321	4861
62	324	4830
63	328	4805
64	332	4789
65	336	4762
66	339	4725
67	342	4688
68	345	4656
69	349	4639
70	353	4622
71	356	4597
72	360	4573
73	363	4543
74	365	4512
75	368	4482
76	371	4450
77	373	4420
78	376	4384
79	378	4358
80	381	4331
81	384	4303
82	386	4275
83	389	4247
84	392	4223
85	395	4205
86	398	4179
87	400	4155
88	403	4134
89	406	4112
90	409	4091
91	412	4071
92	415	4049
93	417	4028
94	420	4009
95	423	3988
96	426	3970
97	429	3949
98	431	3930
99	434	3911
100	437	3892
101	440	3874
102	442	3856
103	445	3838
104	448	3820
105	451	3804
106	453	3786
107	456	3772
108	459	3757
109	462	3741
110	465	3725
111	467	3709
112	470	3693
113	473	3679
114	476	3663
115	479	3650
116	485	3663
117	490	3663
118	494	3658
119	497	3651
120	501	3642
121	505	3635
122	509	3633
123	514	3637
124	520	3644
125	526	3653
126	530	3650
127	535	3649
128	538	3636
129	541	3622
130	543	3606
131	546	3593
132	550	3588
133	553	3574
134	555	3561
135	558	3549
136	561	3536
137	564	3528
138	567	3515
139	570	3502
140	573	3491
141	575	3479
142	579	3470
143	581	3458
144	584	3445
145	587	3434
146	589	3422
147	592	3412
148	595	3403
149	598	3392
150	601	3381
151	605	3375
152	609	3372
153	612	3366
154	615	3356
155	619	3351
156	623	3345
157	626	3339
158	629	3328
159	631	3317
160	635	3309
161	637	3299
162	640	3289
163	643	3279
164	645	3268
165	648	3259
166	651	3249
167	654	3240
168	657	3232
169	660	3222
170	663	3214
171	665	3202
172	668	3196
173	672	3193
174	676	3189
175	681	3192
176	684	3183
177	688	3181
178	691	3173
179	694	3164
180	698	3159
181	702	3158
182	706	3153
183	709	3145
184	712	3141
185	716	3136
186	719	3129
187	722	3120
188	725	3112
189	728	3104
190	730	3095
191	734	3090
192	737	3082
193	739	3073
194	742	3065
195	745	3058
196	748	3050
197	751	3043
198	753	3034
199	756	3027
200	759	3019
201	762	3011
202	765	3005
203	768	2998
204	770	2989
205	774	2983
206	776	2975
207	781	2974
208	785	2971
209	788	2966
210	791	2959
211	795	2955
212	798	2950
213	802	2946
214	805	2939
215	808	2933
216	812	2930
217	815	2925
218	818	2917
219	820	2910
220	823	2903
221	827	2898
222	829	2891
223	832	2884
224	835	2876
225	837	2869
226	842	2868
227	845	2864
228	849	2860
229	852	2854
230	855	2847
231	859	2844
232	862	2837
233	864	2830
234	867	2824
235	870	2817
236	873	2812
237	876	2805
238	879	2798
239	881	2792
240	884	2786
241	888	2783
242	892	2779
243	895	2775
244	898	2769
245	902	2766
246	906	2762
247	909	2757
248	912	2751
249	914	2744
250	917	2738
251	920	2732
252	923	2726
253	926	2720
254	928	2713
255	931	2707
256	934	2703
257	937	2696
258	940	2690
259	943	2684
260	945	2678
261	950	2675
262	952	2669
263	955	2663
264	958	2657
265	960	2651
266	963	2645
267	966	2640
268	969	2634
269	972	2628
270	974	2622
271	977	2616
272	980	2612
273	984	2608
274	988	2605
275	991	2601
276	994	2595
277	998	2593
278	1002	2590
279	1005	2585
280	1008	2580
281	1011	2574
282	1014	2569
283	1018	2566
284	1021	2563
285	1025	2559
286	1029	2557
287	1032	2551
288	1034	2544
289	1036	2538
290	1040	2534
291	1044	2532
292	1047	2526
293	1050	2522
294	1053	2518
295	1056	2512
296	1059	2508
297	1062	2502
298	1065	2497
299	1067	2491
300	1070	2486
301	1074	2482
302	1077	2479
303	1081	2476
304	1085	2472
305	1087	2467
306	1091	2463
307	1094	2459
308	1098	2456
309	1101	2450
310	1104	2446
311	1107	2441
312	1109	2435
313	1112	2430
314	1115	2425
315	1118	2421
316	1121	2415
317	1123	2410
318	1126	2405
319	1130	2401
320	1132	2396
321	1135	2391
322	1138	2385
323	1141	2381
324	1143	2375
325	1146	2371
326	1149	2366
327	1152	2360
328	1154	2355
329	1157	2350
330	1160	2346
331	1163	2341
