iter	RMSE
0	0.9718663217
1	0.9597749583
2	0.9480697576
3	0.9350887403
4	0.9227074279
5	0.912280472
6	0.9027646263
7	0.8932271528
8	0.8835515381
9	0.8750154044
10	0.864349737
11	0.8544078253
12	0.8459017196
13	0.836945085
14	0.8296885346
15	0.823117135
16	0.8157235591
17	0.8079973086
18	0.8006550723
19	0.793167674
20	0.7863255976
21	0.7804718507
22	0.7733244456
23	0.7673163617
24	0.7623980532
25	0.757820382
26	0.752323237
27	0.7474836485
28	0.7415361216
29	0.735751726
30	0.731693708
31	0.7261824236
32	0.7216143926
33	0.71767035
34	0.7132625762
35	0.7082340712
36	0.7037910384
37	0.6995777515
38	0.6956903148
39	0.6908993002
40	0.6884289609
41	0.6857632011
42	0.6831461357
43	0.680535465
44	0.6776314448
45	0.6749427747
46	0.6717136733
47	0.6685082883
48	0.6652314894
49	0.6627129006
50	0.6595259016
51	0.6570918246
52	0.6544772221
53	0.6516808373
54	0.6491888177
55	0.6462867255
56	0.6441331237
57	0.6421631924
58	0.6380646421
59	0.6360612509
60	0.6340791186
61	0.6313201292
62	0.6292042156
63	0.6268556736
64	0.6246921884
65	0.6228403659
66	0.6199218002
67	0.6176610948
68	0.6160489152
69	0.6143827265
70	0.612626815
71	0.6110881741
72	0.6099103715
73	0.6082130995
74	0.6067088961
75	0.6049477853
76	0.6023147752
77	0.6004035989
78	0.5980936694
79	0.5965345833
80	0.5956530454
81	0.5930670744
82	0.591829162
83	0.5904979461
84	0.5890170588
85	0.5875896193
86	0.586136201
87	0.5841172263
88	0.5830908366
89	0.5817799818
90	0.5803651558
91	0.5785045998
92	0.5766850493
93	0.5748950206
94	0.573700716
95	0.5723721537
96	0.5709016471
97	0.5699612153
98	0.5687923679
99	0.5676792703
100	0.5667913533
101	0.5659579896
102	0.5648716864
103	0.5638378686
104	0.5628557586
105	0.5622404177
106	0.5607268935
107	0.5589270058
108	0.5577427457
109	0.5564827286
110	0.5554266055
111	0.5541485359
112	0.5528930068
113	0.5517180318
114	0.5508167766
115	0.5494212429
116	0.5481505481
117	0.546748291
118	0.5453081568
119	0.5441127524
120	0.5427672689
121	0.5411111813
122	0.539784531
123	0.5388471145
124	0.5375519149
125	0.5364535041
126	0.5356051645
127	0.5343556581
128	0.5327936356
129	0.5311892986
130	0.5304651558
131	0.529442421
132	0.5286732752
133	0.5276192291
134	0.5259136403
135	0.5245151905
136	0.5230172052
137	0.5221516316
138	0.5210462243
139	0.5197187397
140	0.5185346738
141	0.517051795
142	0.5164043462
143	0.5153827067
144	0.5144577133
145	0.513672898
146	0.5119717807
147	0.5111958416
148	0.509749687
149	0.5091536679
150	0.5084294122
151	0.5075112819
152	0.5062870039
153	0.5045379449
154	0.5031952571
155	0.502713483
156	0.5016680813
157	0.5009298044
158	0.5001357582
159	0.4993743124
160	0.498774576
161	0.4975270191
162	0.4971185646
163	0.495952331
164	0.4954900973
165	0.4946960991
166	0.4939200604
167	0.4932016497
168	0.4926027241
169	0.4916382484
170	0.4911408217
171	0.489713832
172	0.4891517143
173	0.4882215397
174	0.4875541241
175	0.4859881322
176	0.4851247362
177	0.4840859579
178	0.4831045679
179	0.4819426213
180	0.4799018302
181	0.4789965704
182	0.4784886888
183	0.4776335304
184	0.4771425289
185	0.4763560462
186	0.4753564131
187	0.4738588074
188	0.4730634082
189	0.4727742768
190	0.4721499734
191	0.4701946713
192	0.4690173813
193	0.4683955038
194	0.4677027788
195	0.4661130209
196	0.4657564701
197	0.4645119979
198	0.462703086
199	0.4616083833
200	0.4606923351
201	0.4603233465
202	0.4597788217
203	0.4587861052
204	0.4582222008
205	0.4572477561
206	0.4565220732
207	0.4553701957
208	0.4538317061
209	0.4526942002
210	0.4520906952
211	0.4519116368
212	0.4507181014
213	0.4506028195
214	0.4491530529
215	0.448934698
216	0.448693002
217	0.4485645421
218	0.4470684792
219	0.4464687028
220	0.4459398032
221	0.4457821333
222	0.4450875029
223	0.4443691706
224	0.4439250679
225	0.4427292289
226	0.4419413355
227	0.4417244214
228	0.4405352461
229	0.4402383002
230	0.4398625887
231	0.4396946461
232	0.4393762559
233	0.4382270774
234	0.4381376634
235	0.4380430621
236	0.4379439286
237	0.4372774825
238	0.4358836164
239	0.4350844978
240	0.4343326614
241	0.434168244
242	0.4340525845
243	0.4333425304
244	0.4332279151
245	0.4323314439
246	0.4322129883
247	0.431410637
248	0.4312989396
249	0.4303941395
250	0.4299470984
251	0.42959006
252	0.428846087
253	0.4280682085
254	0.4275311853
255	0.4268169984
256	0.4257631467
257	0.4256086378
258	0.4245975056
259	0.4244462362
260	0.4243533973
261	0.4239388707
262	0.4231648372
263	0.4230610298
264	0.4225499962
265	0.4214600754
266	0.4209996937
267	0.4201696285
268	0.4200292587
269	0.4188566812
270	0.4178589976
271	0.4165234479
272	0.4155187715
273	0.4149393702
274	0.4139029908
275	0.4132063455
276	0.4131276725
277	0.4118794118
278	0.4108340907
279	0.4102339484
280	0.4095162725
281	0.4094468515
282	0.4089088281
283	0.4083450385
284	0.4082619529
285	0.4072512858
286	0.4067241774
287	0.4066385847
288	0.4056218705
289	0.4052065109
290	0.4045267696
291	0.4033042396
292	0.4020274097
293	0.4008496806
294	0.400772355
295	0.4007044998
296	0.4006375652
297	0.4005799633
298	0.3991653724
299	0.3978095069
300	0.3967701373
301	0.3964767088
302	0.39641024
303	0.3953970491
304	0.3947598311
305	0.3944366803
306	0.3934967471
307	0.3918817812
308	0.3918177456
309	0.3917088869
310	0.3911827596
311	0.3909962074
312	0.3904503
313	0.3896971519
314	0.3882087276
315	0.3871876451
316	0.3859478417
317	0.3856022453
318	0.3847381197
319	0.3838786251
320	0.3831127181
321	0.3818154222
322	0.3817515334
323	0.3814068184
324	0.3803352595
325	0.3795891058
326	0.3784391232
327	0.3783841633
328	0.3772596925
329	0.3756169514
330	0.3747079243
331	0.3746525058
332	0.3737285543
333	0.3725889582
334	0.372535623
335	0.3715357298
336	0.3703842207
337	0.3695569894
338	0.368266843
339	0.3671406652
340	0.3664236756
341	0.365290223
342	0.3649786872
343	0.364233216
344	0.364141083
345	0.3640987064
346	0.3640140871
347	0.362841311
348	0.3623784789
349	0.3623218663
350	0.3622747008
351	0.3614153155
352	0.3601216255
353	0.359076268
354	0.357833465
355	0.357145735
356	0.3569205456
357	0.3561808112
358	0.355326148
359	0.3544798412
360	0.3541736526
361	0.3537381675
362	0.3525648694
363	0.3516057456
364	0.3506372102
365	0.3495818697
366	0.3481919395
367	0.3481460757
368	0.3474473833
369	0.3472078376
370	0.3467037438
371	0.3456647854
372	0.3449616502
373	0.3439108056
374	0.3434096721
375	0.3421676898
376	0.3411573408
377	0.3402810786
378	0.3397831458
379	0.3397297227
380	0.339675561
381	0.3392570748
382	0.3385095276
383	0.3381710445
384	0.3368788821
385	0.3368349777
386	0.3359546558
387	0.3355897567
388	0.3355297872
389	0.3351642709
390	0.3344860732
391	0.3340296183
392	0.3334801293
393	0.333042322
394	0.3329740845
395	0.3320674598
396	0.3320263203
397	0.3314591025
398	0.3312293355
399	0.3299915448
400	0.3292840418
401	0.3286888843
402	0.3275158352
403	0.3269710531
404	0.3263468498
405	0.3259142135
406	0.3258502724
407	0.3258118951
408	0.3248586071
409	0.3236369555
410	0.3227962945
411	0.3218132859
412	0.3217674794
413	0.3214998492
414	0.3209889916
415	0.3205696938
416	0.3197012913
417	0.3186343667
418	0.3186032713
419	0.3182296401
420	0.3176398065
421	0.3169457177
422	0.3163335848
423	0.315393281
424	0.3143917926
425	0.3143528666
426	0.31391779
427	0.3132658005
428	0.3132077987
429	0.3127756329
430	0.3127425707
431	0.312201237
432	0.31215408
433	0.3112988016
434	0.3110325703
435	0.3107118603
436	0.3106751972
437	0.3106166294
438	0.3105868601
439	0.3104086615
440	0.3101794411
441	0.3092308072
442	0.3082496066
443	0.3076784808
444	0.3067876355
445	0.3067558173
446	0.3060425103
447	0.3060066286
448	0.3056729693
449	0.3056261036
450	0.3055952999
451	0.305399841
452	0.304626907
453	0.3039494209
454	0.30305918
455	0.3027247976
456	0.3017243221
457	0.3011138228
458	0.3008708232
459	0.29992712
460	0.2988189172
461	0.2983359374
462	0.2980717906
463	0.2972320432
464	0.2965516539
465	0.2955159989
466	0.2949416783
467	0.294809126
468	0.2944222045
469	0.2943374145
470	0.2938985019
471	0.2932736221
472	0.2925318897
473	0.2923200287
474	0.2917560767
475	0.2914047311
476	0.2908917365
477	0.2908598262
478	0.2908297566
479	0.2904479757
480	0.2898426285
481	0.2897171975
482	0.2889315047
483	0.2886257734
484	0.2885875425
485	0.2881881871
486	0.2875287475
487	0.2871934455
488	0.2866288689
489	0.2862037029
490	0.2858054751
491	0.2854468374
492	0.284551862
493	0.2836882849
494	0.2834691948
495	0.2830973587
496	0.2826783814
497	0.2822885097
498	0.2822562815
499	0.2820480752
500	0.2820035858
501	0.2812910259
502	0.2807384304
503	0.2806968674
504	0.2804918779
505	0.2804550447
506	0.2798664352
507	0.2793367654
508	0.2792983993
509	0.2792322121
510	0.2788987659
511	0.2788073569
512	0.2779794881
513	0.277425699
514	0.2769260158
515	0.2759415851
516	0.2752457342
517	0.2747108297
518	0.2741113445
519	0.2735066413
520	0.2731586714
521	0.2724295412
522	0.2716391187
523	0.2714503157
524	0.2711758241
525	0.2703013753
526	0.2697089675
527	0.2691449677
528	0.2686763043
529	0.2683088121
530	0.267587669
531	0.2669911415
532	0.2669460882
533	0.2669030088
534	0.2665115002
535	0.2658626527
536	0.2649477698
537	0.2646489977
538	0.2646105879
539	0.2642760279
540	0.2640115346
541	0.2638901106
542	0.2629036894
543	0.2628655821
544	0.2626689516
545	0.2621853115
546	0.2614353793
547	0.2614143751
548	0.2612236176
549	0.2607897651
550	0.2607227679
551	0.2604908247
552	0.2599073111
553	0.2590130107
554	0.2589829378
555	0.2589501099
556	0.258677676
557	0.2580580002
558	0.2577683779
559	0.2577211448
560	0.2576405669
561	0.2576210335
562	0.2575781922
563	0.2573576358
564	0.2568403186
565	0.2560796199
566	0.2556637609
567	0.2550253137
568	0.2543761897
569	0.2538122258
570	0.2532570213
571	0.2525740927
572	0.2525437707
573	0.2525013385
574	0.2518496081
575	0.2512421146
576	0.2506667062
577	0.2497904949
578	0.2497596855
579	0.2494139196
580	0.248907346
581	0.248371718
582	0.2479631174
583	0.247284445
584	0.2464733054
585	0.2464384894
586	0.2464106786
587	0.2455725395
588	0.2448434721
589	0.2448227037
590	0.2442196989
591	0.243704567
592	0.24368137
593	0.2432784933
594	0.2424949755
595	0.2417741864
596	0.2414703186
597	0.2409837429
598	0.2401538152
599	0.239628939
600	0.2389931996
601	0.2382576448
602	0.2378461512
603	0.237373019
604	0.2369293282
605	0.2364768876
606	0.2364098802
607	0.2357348828
608	0.2356693232
609	0.2349790019
610	0.2343600932
611	0.2343335361
612	0.2341059831
613	0.2340813845
614	0.233564332
615	0.2335482204
616	0.2335135012
617	0.2333485123
618	0.2330376189
619	0.2329620332
620	0.2326299584
621	0.2319294444
622	0.2319164281
623	0.2312945263
624	0.2312608168
625	0.2308528312
626	0.2308305487
627	0.2308093838
628	0.2300479255
629	0.2299421547
630	0.2294393056
631	0.2292549543
632	0.2286932599
633	0.2283980901
634	0.2281982431
635	0.2281375327
636	0.2275925199
637	0.2271526492
638	0.2268199746
639	0.2260404781
640	0.2255888339
641	0.2250059012
642	0.2243505529
643	0.2242869997
644	0.2242400766
645	0.2242075671
646	0.2236642338
647	0.2234472875
648	0.2234273451
649	0.2231532684
650	0.2231354605
651	0.223119369
652	0.2225813912
653	0.222336484
654	0.2219617145
655	0.2214269468
656	0.2213566538
657	0.2208829296
658	0.2205611665
659	0.2199706233
660	0.2192535623
661	0.2188599031
662	0.2183931734
663	0.218304351
664	0.2180510844
665	0.2174416526
666	0.2170436812
667	0.2164386717
668	0.2161837774
669	0.2155691551
670	0.2155277847
671	0.2147597834
672	0.2147177147
673	0.2141394479
674	0.2134510867
675	0.2127980598
676	0.2125021203
677	0.2120820379
678	0.2114554247
679	0.2114337645
680	0.2114026869
681	0.2109013586
682	0.2103590565
683	0.209879842
684	0.2093014742
685	0.2086427106
686	0.2081132074
687	0.2076677815
688	0.2071278957
689	0.2067174193
690	0.2061797308
691	0.205647521
692	0.2053868967
693	0.2049283585
694	0.2044225116
695	0.2040359303
696	0.203556919
697	0.2035155762
698	0.2029215652
699	0.2028708966
700	0.2023584121
701	0.202335207
702	0.2019875561
703	0.2016530763
704	0.2010744336
705	0.2007674601
706	0.2002554802
707	0.2000370451
708	0.1999097392
709	0.199884761
710	0.1998653593
711	0.1996251562
712	0.1991936966
713	0.1987194484
714	0.1986100486
715	0.198566292
716	0.1980433373
717	0.1980157096
718	0.1979800528
719	0.1977069135
720	0.1976691182
721	0.1972451096
722	0.1972065883
723	0.1971880011
724	0.196841107
725	0.1968232583
726	0.1961126927
727	0.1958540727
728	0.1955357261
729	0.1954927781
730	0.1949781718
731	0.194518514
732	0.1939916588
733	0.1939607049
734	0.1939382751
735	0.1935785047
736	0.1929679487
737	0.1929451118
738	0.1924200548
739	0.1919803368
740	0.1915819395
741	0.1914162736
742	0.1909616707
743	0.1904912401
744	0.1904555676
745	0.1904132646
746	0.1900332092
747	0.1896544682
748	0.1896080407
749	0.1893103336
750	0.1890234792
751	0.1885351562
752	0.1884996633
753	0.1881674181
754	0.1880072537
755	0.1877243948
756	0.1873411711
757	0.1870893448
758	0.1868719644
759	0.1866217554
760	0.1860515625
761	0.1856673532
762	0.1852854373
763	0.1848951286
764	0.1845861368
765	0.1843847575
766	0.1843735757
767	0.1839708271
768	0.1839440702
769	0.1837065919
770	0.1833056061
771	0.1827763153
772	0.1827536423
773	0.1824105511
774	0.1820912138
775	0.1818316737
776	0.1811976663
777	0.1811625073
778	0.1809927352
779	0.1805062933
780	0.1803432984
781	0.1801563356
